                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57797,                 1.5919,                 1.2788,                0.18507,                0.40476,                0.19742,                0.08854,                 1.6885,                 2.9143,                 1.9321,             0.00055161,             0.00055161,             0.00055161
                      2,                0.51666,                0.96892,                 1.2281,                 0.3104,                0.42232,                0.34884,                0.15845,                 1.8678,                 2.7749,                 2.1744,              0.0010854,              0.0010854,              0.0010854
                      3,                0.52103,                0.82436,                 1.2146,                 0.3434,                0.24284,                0.20601,                 0.0964,                 1.8235,                 2.6133,                  2.126,              0.0015971,              0.0015971,              0.0015971
                      4,                0.49848,                0.74134,                    1.2,                0.36662,                0.45068,                0.37575,                0.27244,                 1.0625,                 1.2737,                  1.365,               0.001568,               0.001568,               0.001568
                      5,                0.46312,                0.67231,                 1.1808,                0.37778,                0.42323,                0.30937,                0.18766,                 1.2883,                 1.7725,                  1.528,               0.001535,               0.001535,               0.001535
                      6,                0.44436,                0.63999,                 1.1603,                0.43369,                0.54061,                 0.4063,                0.31025,                  1.065,                 1.4566,                 1.3595,               0.001502,               0.001502,               0.001502
                      7,                0.41406,                0.59692,                 1.1451,                0.59287,                0.41354,                0.44188,                0.31102,                 1.0842,                 1.3615,                 1.5168,               0.001469,               0.001469,               0.001469
                      8,                0.41131,                0.56645,                 1.1434,                0.82495,                0.41569,                0.43686,                0.33399,                0.94703,                 1.3283,                  1.247,               0.001436,               0.001436,               0.001436
                      9,                0.39049,                0.54791,                 1.1302,                0.58819,                 0.4618,                   0.46,                0.30789,                 1.0683,                 1.2898,                   1.29,              0.0014029,              0.0014029,              0.0014029
                     10,                0.37699,                0.52966,                 1.1233,                0.43068,                0.56341,                0.45825,                0.36041,                0.93144,                 1.2234,                 1.2605,              0.0013699,              0.0013699,              0.0013699
                     11,                0.38344,                 0.5235,                 1.1266,                0.53804,                0.40258,                0.46949,                0.38208,                0.92606,                 1.1596,                 1.1868,              0.0013369,              0.0013369,              0.0013369
                     12,                0.35818,                0.48508,                  1.109,                0.51432,                0.59402,                0.42394,                 0.3264,                 0.8574,                 1.0929,                 1.1029,              0.0013039,              0.0013039,              0.0013039
                     13,                0.34577,                0.48911,                 1.1073,                0.65311,                0.48486,                 0.4771,                0.36677,                0.96507,                 1.1505,                 1.2186,              0.0012709,              0.0012709,              0.0012709
                     14,                0.34296,                0.46852,                 1.0973,                0.59185,                0.52672,                0.49628,                0.39696,                  0.948,                 1.0673,                 1.1955,              0.0012379,              0.0012379,              0.0012379
                     15,                0.33992,                0.46456,                 1.0919,                0.50522,                0.47475,                0.50229,                0.36126,                0.97838,                 1.2077,                 1.2048,              0.0012049,              0.0012049,              0.0012049
                     16,                0.32762,                0.43953,                 1.0809,                0.57423,                0.48445,                0.50449,                0.39363,                0.90738,                 1.0288,                 1.1899,              0.0011719,              0.0011719,              0.0011719
                     17,                0.32095,                0.44307,                 1.0792,                0.84893,                0.43202,                0.54291,                0.41378,                 1.0287,                 1.0486,                 1.2163,              0.0011389,              0.0011389,              0.0011389
                     18,                 0.3072,                0.42649,                 1.0669,                0.67864,                0.57799,                0.52873,                0.37661,                0.97753,                 1.1054,                 1.2774,              0.0011059,              0.0011059,              0.0011059
                     19,                  0.307,                0.40753,                 1.0641,                0.49436,                0.59599,                 0.4975,                0.38842,                0.89042,                 1.0245,                 1.0934,              0.0010729,              0.0010729,              0.0010729
                     20,                0.29996,                0.40285,                 1.0608,                0.60143,                0.50777,                0.52966,                0.42745,                0.80498,                0.93061,                 1.0584,              0.0010399,              0.0010399,              0.0010399
                     21,                0.28653,                0.39078,                  1.043,                0.63316,                0.48333,                0.51448,                0.40073,                0.87661,                0.98544,                 1.1065,              0.0010069,              0.0010069,              0.0010069
                     22,                0.28104,                0.37769,                 1.0447,                0.70159,                0.53194,                0.53012,                0.39495,                0.82257,                0.92876,                 1.0498,             0.00097386,             0.00097386,             0.00097386
                     23,                 0.2797,                0.37757,                 1.0469,                0.71739,                0.44922,                0.49176,                0.39719,                0.92964,                0.91341,                 1.1686,             0.00094085,             0.00094085,             0.00094085
                     24,                0.26986,                0.36903,                 1.0365,                0.65999,                0.46716,                0.53823,                  0.439,                0.83676,                0.86837,                 1.1198,             0.00090785,             0.00090785,             0.00090785
                     25,                0.27225,                0.36968,                 1.0386,                0.86472,                0.50923,                0.55292,                0.45123,                0.83137,                0.98492,                 1.0892,             0.00087484,             0.00087484,             0.00087484
                     26,                0.26179,                0.36994,                 1.0305,                0.56481,                0.68805,                0.49001,                0.36495,                0.87846,                0.96103,                  1.101,             0.00084184,             0.00084184,             0.00084184
                     27,                0.25519,                0.34712,                 1.0298,                0.66644,                0.50736,                0.56168,                0.41243,                0.89019,                0.90921,                  1.187,             0.00080883,             0.00080883,             0.00080883
                     28,                0.24903,                0.34592,                 1.0258,                0.61823,                0.51243,                0.51533,                0.42515,                0.81103,                0.90983,                 1.0521,             0.00077582,             0.00077582,             0.00077582
                     29,                0.25351,                0.33573,                 1.0244,                 0.6056,                 0.6123,                0.56512,                0.45146,                0.78493,                0.86489,                  1.036,             0.00074282,             0.00074282,             0.00074282
                     30,                0.24623,                0.34252,                 1.0166,                0.68432,                0.52275,                 0.5395,                0.44645,                0.78734,                 0.8345,                 1.0381,             0.00070981,             0.00070981,             0.00070981
                     31,                0.23919,                0.33732,                 1.0179,                0.67402,                0.50632,                0.57094,                0.46399,                0.84174,                0.87663,                 1.1142,              0.0006768,              0.0006768,              0.0006768
                     32,                0.22848,                0.32429,                 1.0037,                0.64965,                0.51707,                0.57118,                0.42482,                 0.7909,                0.93554,                  1.049,              0.0006438,              0.0006438,              0.0006438
                     33,                 0.2353,                0.32132,                  1.011,                 0.8149,                0.61186,                0.62112,                0.44789,                0.83069,                0.85407,                 1.1132,             0.00061079,             0.00061079,             0.00061079
                     34,                0.21574,                0.30436,                0.99142,                0.72731,                0.53914,                 0.5825,                  0.443,                0.77021,                0.80627,                 1.0408,             0.00057778,             0.00057778,             0.00057778
                     35,                0.21895,                0.30276,                0.99667,                  0.547,                0.53683,                0.51062,                0.43012,                0.74093,                0.83297,                0.96524,             0.00054478,             0.00054478,             0.00054478
                     36,                0.20583,                0.29138,                0.99203,                0.74747,                0.59933,                0.60816,                0.49904,                0.79537,                0.84636,                 1.0155,             0.00051177,             0.00051177,             0.00051177
                     37,                0.20071,                0.28798,                0.98746,                0.81586,                0.52818,                0.57715,                0.45643,                0.82531,                0.86711,                 1.0768,             0.00047876,             0.00047876,             0.00047876
                     38,                0.19961,                0.28056,                0.97618,                0.67723,                0.51028,                0.57627,                0.44837,                0.79913,                0.85118,                 1.0542,             0.00044576,             0.00044576,             0.00044576
                     39,                0.19781,                0.27732,                0.97926,                0.71138,                0.53256,                0.56494,                0.44714,                0.75701,                 0.8471,                0.97596,             0.00041275,             0.00041275,             0.00041275
                     40,                 0.1908,                0.27043,                0.96482,                 0.8189,                0.53693,                0.61259,                0.46198,                 0.7769,                0.82718,                 1.0001,             0.00037974,             0.00037974,             0.00037974
